,class-0,class-1,class-2
CALU6_LUNG,1.0,0.0,0.0
CAMA1_BREAST,1.0,0.0,0.0
CAOV3_OVARY,1.0,0.0,0.0
CFPAC1_PANCREAS,1.0,0.0,0.0
CHAGOK1_LUNG,1.0,0.0,0.0
COLO201_LARGE_INTESTINE,1.0,0.0,0.0
COLO678_LARGE_INTESTINE,1.0,0.0,0.0
COV318_OVARY,1.0,0.0,0.0
COV362_OVARY,1.0,0.0,0.0
DANG_PANCREAS,1.0,0.0,0.0
DAOY_CENTRAL_NERVOUS_SYSTEM,1.0,0.0,0.0
DETROIT562_UPPER_AERODIGESTIVE_TRACT,1.0,0.0,0.0
DLD1_LARGE_INTESTINE,1.0,0.0,0.0
FADU_UPPER_AERODIGESTIVE_TRACT,1.0,0.0,0.0
GB1_CENTRAL_NERVOUS_SYSTEM,1.0,0.0,0.0
GI1_CENTRAL_NERVOUS_SYSTEM,1.0,0.0,0.0
HCC1359_LUNG,1.0,0.0,0.0
HCC15_LUNG,1.0,0.0,0.0
HCC1806_BREAST,1.0,0.0,0.0
HCC1954_BREAST,1.0,0.0,0.0
HCC827_LUNG,1.0,0.0,0.0
HCC95_LUNG,1.0,0.0,0.0
HEC50B_ENDOMETRIUM,1.0,0.0,0.0
HEC6_ENDOMETRIUM,1.0,0.0,0.0
HGC27_STOMACH,1.0,0.0,0.0
HLF_LIVER,1.0,0.0,0.0
HMC18_BREAST,1.0,0.0,0.0
HS729_SOFT_TISSUE,1.0,0.0,0.0
HT115_LARGE_INTESTINE,1.0,0.0,0.0
HT29_LARGE_INTESTINE,1.0,0.0,0.0
HT55_LARGE_INTESTINE,1.0,0.0,0.0
HUH1_LIVER,1.0,0.0,0.0
HUH6_LIVER,1.0,0.0,0.0
HUH7_LIVER,1.0,0.0,0.0
HUPT3_PANCREAS,1.0,0.0,0.0
IGR1_SKIN,1.0,0.0,0.0
JHH7_LIVER,1.0,0.0,0.0
JHOS2_OVARY,1.0,0.0,0.0
JIMT1_BREAST,1.0,0.0,0.0
JMSU1_URINARY_TRACT,1.0,0.0,0.0
KM12_LARGE_INTESTINE,1.0,0.0,0.0
KMRC20_KIDNEY,1.0,0.0,0.0
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0,0.0,0.0
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0,0.0,0.0
KNS42_CENTRAL_NERVOUS_SYSTEM,1.0,0.0,0.0
KNS62_LUNG,1.0,0.0,0.0
KP3_PANCREAS,1.0,0.0,0.0
KP4_PANCREAS,1.0,0.0,0.0
KYSE180_OESOPHAGUS,1.0,0.0,0.0
KYSE30_OESOPHAGUS,1.0,0.0,0.0
KYSE410_OESOPHAGUS,1.0,0.0,0.0
KYSE450_OESOPHAGUS,1.0,0.0,0.0
KYSE510_OESOPHAGUS,1.0,0.0,0.0
KYSE70_OESOPHAGUS,1.0,0.0,0.0
LCLC103H_LUNG,1.0,0.0,0.0
LI7_LIVER,1.0,0.0,0.0
LK2_LUNG,1.0,0.0,0.0
LMSU_STOMACH,1.0,0.0,0.0
LN18_CENTRAL_NERVOUS_SYSTEM,1.0,0.0,0.0
LUDLU1_LUNG,1.0,0.0,0.0
MDAMB157_BREAST,1.0,0.0,0.0
MDAMB231_BREAST,1.0,0.0,0.0
MDAMB436_BREAST,1.0,0.0,0.0
MDAMB453_BREAST,1.0,0.0,0.0
MDAMB468_BREAST,1.0,0.0,0.0
MIAPACA2_PANCREAS,1.0,0.0,0.0
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0,0.0,0.0
MPP89_PLEURA,1.0,0.0,0.0
NCIH1299_LUNG,1.0,0.0,0.0
NCIH1437_LUNG,1.0,0.0,0.0
NCIH1568_LUNG,1.0,0.0,0.0
NCIH1581_LUNG,1.0,0.0,0.0
NCIH1693_LUNG,1.0,0.0,0.0
NCIH1703_LUNG,1.0,0.0,0.0
NCIH2030_LUNG,1.0,0.0,0.0
NCIH2110_LUNG,1.0,0.0,0.0
NCIH2126_LUNG,1.0,0.0,0.0
NCIH2170_LUNG,1.0,0.0,0.0
NCIH2172_LUNG,1.0,0.0,0.0
NCIH2291_LUNG,1.0,0.0,0.0
NCIH23_LUNG,1.0,0.0,0.0
NCIH441_LUNG,1.0,0.0,0.0
NCIH716_LARGE_INTESTINE,1.0,0.0,0.0
NCIH747_LARGE_INTESTINE,1.0,0.0,0.0
NCIH838_LUNG,1.0,0.0,0.0
NUGC3_STOMACH,1.0,0.0,0.0
OE21_OESOPHAGUS,1.0,0.0,0.0
OUMS23_LARGE_INTESTINE,1.0,0.0,0.0
OV90_OVARY,1.0,0.0,0.0
OVCAR8_OVARY,1.0,0.0,0.0
PANC0203_PANCREAS,1.0,0.0,0.0
PANC0403_PANCREAS,1.0,0.0,0.0
PANC1005_PANCREAS,1.0,0.0,0.0
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT,1.0,0.0,0.0
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,1.0,0.0,0.0
PK1_PANCREAS,1.0,0.0,0.0
RD_SOFT_TISSUE,1.0,0.0,0.0
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0,0.0,0.0
RH30_SOFT_TISSUE,1.0,0.0,0.0
RKO_LARGE_INTESTINE,1.0,0.0,0.0
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0,0.0,0.0
SAOS2_BONE,1.0,0.0,0.0
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0,0.0,0.0
SJSA1_BONE,1.0,0.0,0.0
SKNAS_AUTONOMIC_GANGLIA,1.0,0.0,0.0
SKNBE2_AUTONOMIC_GANGLIA,1.0,0.0,0.0
SKNDZ_AUTONOMIC_GANGLIA,1.0,0.0,0.0
SKNMC_BONE,1.0,0.0,0.0
SNU1_STOMACH,1.0,0.0,0.0
SNU410_PANCREAS,1.0,0.0,0.0
SNU449_LIVER,1.0,0.0,0.0
SUIT2_PANCREAS,1.0,0.0,0.0
SW1463_LARGE_INTESTINE,1.0,0.0,0.0
SW620_LARGE_INTESTINE,1.0,0.0,0.0
T24_URINARY_TRACT,1.0,0.0,0.0
TCCPAN2_PANCREAS,1.0,0.0,0.0
TCCSUP_URINARY_TRACT,1.0,0.0,0.0
TE1_OESOPHAGUS,1.0,0.0,0.0
TE4_OESOPHAGUS,1.0,0.0,0.0
TE6_OESOPHAGUS,1.0,0.0,0.0
TEN_ENDOMETRIUM,1.0,0.0,0.0
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0,0.0,0.0
UMUC3_URINARY_TRACT,1.0,0.0,0.0
VMRCRCW_KIDNEY,1.0,0.0,0.0
YD38_UPPER_AERODIGESTIVE_TRACT,1.0,0.0,0.0
